﻿Word,termFreq,docFreq
"102","1","1"
"104","1","1"
"106年","1","1"
"107","1","1"
"107年","1","1"
"10多","1","1"
"10月份","1","1"
"10％","1","1"
"11","1","1"
"1151年","1","1"
"12.","1","1"
"123","1","1"
"1246","1","1"
"125","1","1"
"12日","1","1"
"13日","1","1"
"140","1","1"
"141","1","1"
"147","1","1"
"151","1","1"
"153","1","1"
"1551年","1","1"
"158","1","1"
"16.5","1","1"
"160萬","1","1"
"167","1","1"
"168","1","1"
"16年","1","1"
"16日","1","1"
"17","1","1"
"170","1","1"
"172","1","1"
"1799","1","1"
"180","1","1"
"1835","1","1"
"1856年","1","1"
"1857年","1","1"
"1875","1","1"
"18日","1","1"
"1905","1","1"
"1906","1","1"
"1911年","1","1"
"1913年","1","1"
"1914","1","1"
"1917年","1","1"
"1925年","1","1"
"1926","1","1"
"1950年代","1","1"
"1951年","1","1"
"1952","1","1"
"1953","1","1"
"1953年","1","1"
"1961年","1","1"
"1962年","1","1"
"1969","1","1"
"1969年","1","1"
"1970年代","1","1"
"1971","1","1"
"1972","1","1"
"1972年","1","1"
"1975年","1","1"
"1976","1","1"
"1977年","1","1"
"1981年","1","1"
"1983年","1","1"
"1987年","1","1"
"1990年代","1","1"
"1994年","1","1"
"1996","1","1"
"1997年","1","1"
"1999年","1","1"
"19分","1","1"
"1成9","1","1"
"1月","1","1"
"1樓","1","1"
"1萬","1","1"
"1號","1","1"
"2.","1","1"
"2000","1","1"
"2000年","1","1"
"2003年","1","1"
"2007年","1","1"
"2009","1","1"
"2009年","1","1"
"2011","1","1"
"2011年","1","1"
"2014","1","1"
"2016","1","1"
"2017年","1","1"
"20180625日記","1","1"
"20200401","1","1"
"2020年會","1","1"
"20世紀","1","1"
"20多","1","1"
"20日","1","1"
"21","1","1"
"22日","1","1"
"250","1","1"
"26年","1","1"
"26日","1","1"
"284","1","1"
"28日","1","1"
"29","1","1"
"2B","1","1"
"2年","1","1"
"3.88","1","1"
"300","1","1"
"3092","1","1"
"33","1","1"
"34分","1","1"
"35","1","1"
"351","1","1"
"36","1","1"
"36年","1","1"
"37年","1","1"
"3C","1","1"
"3成2","1","1"
"3日","1","1"
"3時","1","1"
"3萬","1","1"
"3點半","1","1"
"4.","1","1"
"4.6","1","1"
"4/5","1","1"
"43年","1","1"
