Word,termFreq,docFreq
".--","6","3"
"13","6","3"
"15","6","3"
"16","6","4"
"1\t\t","6","1"
"2012年","6","2"
"2013","6","1"
"2016年","6","2"
"23","6","3"
"3月","6","1"
"60","6","3"
"60號","6","4"
"61","6","4"
"73","6","1"
"8/15日","6","1"
"95.06.13","6","1"
"『","6","2"
"』","6","2"
"下方","6","2"
"不易","6","3"
"不論","6","1"
"主","6","2"
"之上","6","1"
"五瑞","6","2"
"他們","6","1"
"仙女","6","2"
"以後","6","2"
"份","6","3"
"佛寺","6","2"
"佛手","6","1"
"傳","6","2"
"像","6","2"
"價值觀","6","1"
"入口","6","2"
"兩岸","6","2"
"再則","6","2"
"凸顯","6","2"
"分為","6","2"
"前埔","6","2"
"副題","6","2"
"創建","6","2"
"劉備","6","1"
"千古","6","3"
"卷","6","2"
"古宅格扇門","6","2"
"句","6","2"
"合稱","6","2"
"合著","6","1"
"名師","6","2"
"周","6","2"
"周敦頤","6","2"
"周英戀","6","2"
"周邊","6","2"
"和樂","6","2"
"員光","6","2"
"唐代","6","2"
"喜上眉梢","6","2"
"喜雀","6","1"
"四象","6","1"
"回紋","6","1"
"國","6","3"
"垂脊","6","1"
"城","6","2"
"基本","6","1"
"塊","6","2"
"塌岫鏡","6","2"
"境主","6","2"
"墓葬","6","1"
"墨寶","6","2"
"大小","6","3"
"天鹿","6","2"
"太原","6","2"
"如今","6","3"
"姿態","6","2"
"宅明","6","2"
"守護","6","2"
"宗教","6","2"
"實","6","2"
"實踐","6","2"
"對聯","6","2"
"小說","6","2"
"尤其","6","3"
"屋","6","2"
"左手","6","1"
"底部","6","2"
"廟清","6","1"
"延年","6","2"
"建蓋","6","2"
"弄","6","2"
"引","6","3"
"形成","6","2"
"德","6","2"
"心","6","2"
"必","6","3"
"意指","6","2"
"成對","6","2"
"我","6","2"
"或是","6","2"
"招財進寶","6","2"
"排列","6","4"
"描繪","6","2"
"搏風版","6","1"
"方","6","3"
"旗","6","2"
"時期","6","2"
"書局","6","1"
"書齋","6","2"
"有成","6","2"
"有關","6","3"
"李國俊","6","2"
"李宅","6","1"
"東村","6","3"
"東沙尾","6","2"
"林天助","6","1"
"林金榮","6","3"
"果實","6","2"
"架構","6","2"
"棋","6","2"
"椒圖","6","1"
"楊清國","6","1"
"楊肅民","6","2"
"極","6","2"
"標誌","6","2"
"樣貌","6","3"
"次間","6","2"
"殖民地","6","1"
"氛圍","6","2"
"氣勢","6","2"
"浦邊村","6","3"
"浯江","6","3"
"淵明","6","1"
"湖","6","3"
"漁","6","1"
"爪","6","2"
"牆面","6","2"
"版","6","1"
"特","6","2"
"特有","6","2"
"獅","6","2"
"獲","6","3"
"獲得","6","3"
"獻瑞","6","2"
"玉","6","1"
"王爺","6","2"
"珍貴","6","3"
"珠山","6","2"
"球","6","2"
"環境","6","2"
"產業","6","3"
"用以","6","2"
"田野","6","2"
"男子","6","2"
"白","6","2"
"目標","6","3"
"看到","6","2"
"矣","6","3"
"砲戰","6","1"
"神像","6","2"
"神聖","6","2"
"神龍","6","2"
"祥","6","2"
"祥獅","6","2"
"福壽","6","2"
"福德","6","3"
"禮儀","6","3"
"秋菊花","6","1"
"科甲","6","3"
"種植","6","1"
"窗櫺","6","2"
"童子","6","2"
"第104","6","1"
"第92.03.31","6","1"
"第三","6","2"
"第二","6","2"
"米","6","1"
"素有","6","2"
"紫微廂","6","2"
"細緻","6","2"
"綽幕","6","1"
"縣","6","3"
"繪圖","6","2"
"美好","6","2"
"美德","6","2"
"美觀","6","2"
"翁德晏","6","2"
"聳照","6","2"
"興旺","6","1"
"色彩","6","2"
"花鳥","6","1"
"莊西進","6","1"
"著，","6","2"
"血緣","6","3"
"裝置","6","2"
"詮釋","6","3"
"認為","6","2"
"議題","6","2"
"資料","6","4"
"赤龍","6","2"
"踢斗","6","2"
"迄","6","2"
"迎城隍","6","2"
"送","6","2"
"通","6","2"
"連","6","3"
"連登","6","2"
"進行","6","2"
"達","6","3"
"選擇","6","2"
"邊框","6","2"
"鄉","6","3"
"鄉僑","6","1"
"金門人","6","2"
"金門城","6","3"
"金門學","6","2"
"金門縣政府","6","3"
"金馬","6","2"
"鑲嵌","6","2"
"長青","6","2"
"開發","6","3"
"閩南式","6","2"
"附","6","1"
"陳為學","6","2"
"陳西村","6","1"
"隔","6","2"
"際","6","2"
"雙獅","6","2"
"青嶼村","6","4"
"非","6","2"
"頁","6","1"
"頂堡","6","2"
"馬","6","2"
"體","6","1"
"魚尾","6","1"
"鮮豔","6","2"
"鰲頭","6","2"
"鵝","6","1"
"點","6","1"
"點綴","6","2"
"龜","6","2"
"/","5","3"
"104.02.11","5","1"
"104年","5","1"
"2003","5","2"
"2003年","5","1"
"2009年","5","1"
"2010","5","1"
"2010年","5","1"
"2011","5","2"
"2014年","5","1"
"20年","5","2"
