﻿Word,termFreq,docFreq
"/28","1","1"
"/29","1","1"
"/31","1","1"
"/33","1","1"
"/34","1","1"
"/35","1","1"
"/5","1","1"
"/9","1","1"
"/iii","1","1"
"/il","1","1"
"00","1","1"
"000","1","1"
"00七","1","1"
"00三八","1","1"
"02","1","1"
"0CIa","1","1"
"0點六","1","1"
"1!1","1","1"
"1!l","1","1"
"1'[r","1","1"
"1,034","1","1"
"1,705","1","1"
"1,951","1","1"
"1-1","1","1"
"1-10","1","1"
"1-12","1","1"
"1-13","1","1"
"1-14","1","1"
"1-15","1","1"
"1-16","1","1"
"1-17","1","1"
"1-19","1","1"
"1-2","1","1"
"1-21","1","1"
"1-22","1","1"
"1-23","1","1"
"1-24","1","1"
"1-25","1","1"
"1-26","1","1"
"1-27","1","1"
"1-4","1","1"
"1-5","1","1"
"1-6","1","1"
"1-8","1","1"
"1-9","1","1"
"1.7","1","1"
"1.70年代","1","1"
"1.一","1","1"
"1.六","1","1"
"1/","1","1"
"10.7％","1","1"
"1000","1","1"
"1000餘萬","1","1"
"100多萬","1","1"
"100％","1","1"
"1025","1","1"
"10725-95","1","1"
"10千","1","1"
"10年","1","1"
"10日","1","1"
"10餘","1","1"
"11.27","1","1"
"11.4％爲","1","1"
"11月","1","1"
"12.8","1","1"
"120萬","1","1"
"1279年","1","1"
"12月","1","1"
"12：289－3001973","1","1"
"1309年","1","1"
"1315年","1","1"
"134.25","1","1"
"1345年","1","1"
"1361","1","1"
"14.85","1","1"
"1403年","1","1"
"14版","1","1"
"150.46","1","1"
"150萬","1","1"
"1560萬","1","1"
"1568：7","1","1"
"15日","1","1"
"1600","1","1"
"1645年","1","1"
"1663年","1","1"
"1664","1","1"
"16年","1","1"
"17,791","1","1"
"1736","1","1"
"1742","1","1"
"1768年","1","1"
"1772年","1","1"
"1776年","1","1"
"178.96","1","1"
"17年","1","1"
"181．","1","1"
"1840年","1","1"
"1870年代","1","1"
"1876年","1","1"
"1882：17","1","1"
"1882：35","1","1"
"1882：394","1","1"
"18日","1","1"
"19.6","1","1"
"1900年","1","1"
"1911","1","1"
"1912年","1","1"
"1914年","1","1"
"1921年版","1","1"
"1924","1","1"
"1925年","1","1"
"1929年","1","1"
"192［","1","1"
"1932年","1","1"
"1934年","1","1"
"1936","1","1"
"1936年","1","1"
"1937","1","1"
"1938年版","1","1"
"1940","1","1"
"1949年代","1","1"
"1950","1","1"
"1950-1977年","1","1"
"1953年版","1","1"
"1955年","1","1"
"1957","1","1"
"1959","1","1"
"1959年","1","1"
"1959：120","1","1"
"1959：123","1","1"
"1959：13","1","1"
"1959：238","1","1"
"1959：705","1","1"
"1963年版","1","1"
"1964；","1","1"
"1965年版","1","1"
"1966","1","1"
"1966年","1","1"
"1967","1","1"
"1967年","1","1"
"1968","1","1"
"1969","1","1"
"1969-","1","1"
"1970","1","1"
"1970年","1","1"
"1971","1","1"
"1971年版","1","1"
"1971：298","1","1"
"1974年版","1","1"
"1975年","1","1"
"1976年度","1","1"
"1977","1","1"
"1977年代","1","1"
"1977年版","1","1"
"1979：323","1","1"
"1979：770","1","1"
"1980-","1","1"
"1981年","1","1"
"1982年","1","1"
"1983：301一336","1","1"
"1983：89","1","1"
"1985","1","1"
"1985年度","1","1"
"1986","1","1"
"1986年版","1","1"
"1987-","1","1"
"1987；33","1","1"
"1988年版","1","1"
"1989年版","1","1"
"1990.11.2","1","1"
"1990）","1","1"
"1990：105","1","1"
"1990：113","1","1"
"1990：44","1","1"
"1990：82","1","1"
"1991：20","1","1"
"1992年度","1","1"
"1994","1","1"
"1994年","1","1"
"1995.7.28","1","1"
"1995年","1","1"
"1996","1","1"
"1996.8.21","1","1"
"1996.8.23","1","1"
"1996.8.26","1","1"
"1996年","1","1"
"19日","1","1"
"1:","1","1"
"1E廠","1","1"
"1I","1","1"
"1Il","1","1"
"1It","1","1"
